,name,ratting,reviews,salaries,company_details
1320,Rodic Consultants,4.3,594,1.9k,Engineering & Construction | Delhi/NCR +109 other locations
1321,Careernet,3.7,594,4.1k,Recruitment | Bangalore +20 other locations
1322,Wipro Infrastructure Engineering,3.8,592,3.9k,Industrial Machinery | Bangalore/Bengaluru +35 other locations
1323,Hitachi Digital Services,3.6,592,5.4k,IT Services & Consulting | Santa Clara +13 other locations
1324,Advik Hi Tech,3.8,591,2.9k,Auto Components | Pune +22 other locations
1325,Sharda Motor Industries,3.8,592,2.7k,Auto Components | Delhi/NCR +25 other locations
1326,DAV Public School,4.1,591,1.4k,Education & Training | Delhi/NCR +140 other locations
1327,Kutumbh Care,3.9,589,1.7k,Recruitment | Noida +155 other locations
1328,Thermo Fisher Scientific,3.9,590,4.7k,Pharma | Waltham +27 other locations
1329,India Cements,3.8,590,2.5k,Building Material | Chennai +81 other locations
1330,SKH Metals,4.0,589,2.4k,Auto Components | Gurgaon/Gurugram +17 other locations
1331,Columbia Asia,4.5,589,1.9k,Healthcare | Bangalore/Bengaluru +20 other locations
1332,McKinsey & Company,3.9,588,7.5k,Management Consulting | New York +24 other locations
1333,Luxoft,3.7,588,4.3k,IT Services & Consulting | Zug +14 other locations
1334,Nippon Life India Asset Management,4.7,587,1.5k,Financial Services | Mumbai +160 other locations
1335,Government of India,4.3,587,4k,Government | New Delhi +142 other locations
1336,Finolex Cables,3.8,588,2.5k,Electrical Equipment | Pune +64 other locations
1337,Qualitest,3.7,587,6.3k,IT Services & Consulting | Bridgewater +13 other locations
1338,EMERSON PROCESS MANAGEMENT,4.0,586,4.2k,Industrial Machinery | St. Louis +28 other locations
1339,Petpooja,4.3,586,1.1k,Software Product | Ahmedabad +49 other locations
1340,Carnival Cruise Lines,4.3,586,811,Sports & Recreation | Miami +28 other locations
1341,ICA Edu Skills,3.8,585,1.6k,Education & Training | Kolkata +117 other locations
1342,Neeyamo Enterprise Solutions,3.7,585,3.9k,Chennai +10 other locations
1343,Fleetguard Filters,4.2,585,2.4k,Auto Components | Pune +74 other locations
1344,Lea Associates South Asia,4.3,584,1.8k,Engineering & Construction | Delhi/NCR +123 other locations
1345,Teamware Solutions,4.2,586,3k,Recruitment | Chennai +20 other locations
1346,Magna International,4.0,584,4.3k,Auto Components | Aurora +19 other locations
1347,Sun Life Financial,4.2,584,4k,Financial Services | Toronto +10 other locations
1348,Travel Food Services,4.1,583,1.9k,Hospitality | Mumbai +28 other locations
1349,Bhanzu,3.9,584,806,Education & Training | Hyderabad +6 other locations
1350,ACTE,4.7,582,77,Education & Training | Chennai +10 other locations
1351,Zuventus Healthcare,3.9,582,1.9k,Pharma | Mumbai +81 other locations
1352,IFFCO,4.1,582,1.9k,Agro Chemicals | Delhi/NCR +90 other locations
1353,Central Industrial Security Force,4.5,581,1.6k,Law Enforcement & Security | Delhi/NCR +74 other locations
1354,Ukb Electronics,4.1,581,2.1k,Electronics Manufacturing | Noida +18 other locations
1355,Vastu Housing Finance,4.3,580,1.7k,Financial Services | Mumbai +132 other locations
1356,Ugam Solution,3.6,580,4k,IT Services & Consulting | Mumbai +13 other locations
1357,Microtek International,3.7,579,2.5k,Consumer Electronics & Appliances | Delhi/NCR +97 other locations
1358,Tiger Analytics,3.6,579,5.9k,IT Services & Consulting | Santa Clara +11 other locations
1359,IBS Software Services,3.7,578,5.7k,Software Product | Thiruvananthapuram +15 other locations
1360,Integreon,3.3,578,3.6k,Legal | Fargo +10 other locations
1361,National Payments Corporation of India,4.0,577,3.4k,Mumbai +11 other locations
1362,Somany Ceramics,4.2,576,2.5k,Building Material | Noida +67 other locations
1363,IIFL Home Finance,3.9,577,1.9k,NBFC | Aurangabad +189 other locations
1364,India Shelter Finance Corporation,4.0,576,2.1k,NBFC | Gurgaon +130 other locations
1365,Chennai Radha Engineering Works,4.0,577,2.4k,Engineering & Construction | Chennai +43 other locations
1366,GlaxoSmithKline Consumer Healthcare,4.4,576,2k,Pharma | London +92 other locations
1367,Sunbeam Auto,3.7,576,2.8k,Auto Components | Gurgaon/Gurugram +26 other locations
1368,Apollo Health and Lifestyle,4.5,576,2.3k,Healthcare | Hyderabad/Secunderabad +63 other locations
1369,Amazon Sellers Services,4.2,575,2.1k,Retail | Bangalore / Bengaluru +59 other locations
1370,Hindware Limited,3.9,576,2.5k,Building Material | Gurgaon +99 other locations
1371,VA Tech Wabag,3.9,575,2.8k,Waste Management | Chennai +45 other locations
1372,Wipro Consumer Care & Lighting,3.8,574,3.3k,FMCG | Bangalore/Bengaluru +88 other locations
1373,Rane (Madras),4.0,574,2.1k,Auto Components | Vallancherry +27 other locations
1374,Toyo Engineering,4.0,574,3.4k,Engineering & Construction | Mumbai +35 other locations
1375,TO THE NEW,3.8,572,4.7k,IT Services & Consulting |  Singapore +18 other locations
1376,Linde India,4.1,571,3.5k,Oil & Gas | Pullach +46 other locations
1377,Isuzu Motors,4.1,572,2.9k,Automobile | Tokyo +30 other locations
1378,ShareChat,3.6,571,2.5k,Internet | Bangalore +36 other locations
1379,JK Paper,3.9,571,2.6k,Pulp & Paper | Delhi/NCR +44 other locations
1380,TO THE NEW,3.8,572,4.7k,IT Services & Consulting |  Singapore +18 other locations
1381,Progressive Infovision,4.2,570,1k,Recruitment | Delhi/NCR +74 other locations
1382,NSB Bpo Solutions,2.8,570,1.7k,BPO | Bhopal +77 other locations
1383,Lovely Professional University,3.4,570,1.9k,Education & Training | Phagwara +24 other locations
1384,Hapag-Lloyd,3.9,570,2.8k,Ports & Shipping | Hamburg +12 other locations
1385,K Raheja Corp,4.3,569,2.5k,Real Estate | Mumbai +16 other locations
1386,Navitasys India,4.0,569,2.3k,Electronics Manufacturing | Bawal +18 other locations
1387,Bayer Crop Science Vegetable Seeds,4.4,570,725,Dhamtari +130 other locations
1388,Indo Autotech,3.8,569,2.7k,Auto Components | Faridabad +28 other locations
1389,CMS Computers Limited (INDIA),3.8,568,3.1k,IT Services & Consulting | Mumbai +69 other locations
1390,Guidehouse,3.9,568,3.8k,Management Consulting | Trivandrum/Thiruvananthapuram +12 other locations
1391,Impact Guru,4.5,568,1.2k,Internet | Mumbai +16 other locations
1392,Flash Electronics,3.7,568,2.4k,Electronics Manufacturing | Pune +18 other locations
1393,Hitachi Systems Micro Clinic,3.9,567,3.3k,IT Services & Consulting | Chiyoda City +73 other locations
1394,Redington,4.0,567,3.1k,Hardware & Networking | Dubai +44 other locations
1395,Mott MacDonald,4.3,567,2.4k,Management Consulting | Croydon +43 other locations
1396,Sutherland Healthcare Solutions,3.9,567,3.5k,Analytics & KPO | Clifton +8 other locations
1397,Transsion,4.2,568,2.8k,Consumer Electronics & Appliances | Shenzhen +61 other locations
1398,Rentokil Pest Control,3.7,566,2k,Facility Management Services | Mumbai +102 other locations
1399,Dhani Services,3.6,564,1.9k,Mumbai +77 other locations
1400,Bses Rajdhani Power,3.7,563,2.6k,Power | Delhi/NCR +14 other locations
1401,Thriveni Earthmovers,4.0,563,2.5k,Metals & Mining | Salem +35 other locations
1402,Apar Industries,4.1,563,3k,Semiconductors | Vadodara/Baroda +56 other locations
1403,WSP,4.3,563,1.9k,Management Consulting | Montreal +28 other locations
1404,M3M India,4.0,562,2.5k,Real Estate | Gurgaon +7 other locations
1405,Indostar Capital Finance,4.5,563,1.7k,NBFC | Mumbai +208 other locations
1406,Rackspace,3.9,561,4k,IT Services & Consulting | San Antonio +10 other locations
1407,Psp Projects,3.9,562,2.3k,Engineering & Construction | Ahmedabad +43 other locations
1408,Hilti,3.6,562,2.9k,Industrial Machinery | Schaan +42 other locations
1409,National Informatics Centre,4.0,561,4k,Government | New Delhi +70 other locations
1410,TIAA Global Business Services,3.9,559,5.2k,Financial Services | Manhattan +8 other locations
1411,Ingram Micro,3.9,558,3.4k,IT Services & Consulting | Irvine +46 other locations
1412,Micromax Informatics,3.6,556,1.6k,Consumer Electronics & Appliances | Gurgaon/Gurugram +114 other locations
1413,Tavant Technologies,3.9,556,5.8k,IT Services & Consulting | Santa Clara +13 other locations
1414,Csc E Governance Services,3.9,556,1.7k,Government | Delhi +180 other locations
1415,Sona Comstar,4.2,557,3.1k,Auto Components | Gurgaon / Gurugram +14 other locations
1416,TDK India Private Limited,3.9,556,2.4k,Semiconductors | Nashik +23 other locations
1417,Poorvika Mobiles,4.6,555,1.4k,Retail | Kodambakkam +78 other locations
1418,Principal Global Services,4.1,555,4.8k,Insurance | Des Moines +9 other locations
1419,Ihg Group,4.0,555,2.8k,Hospitality | Gurgaon/Gurugram +44 other locations
1420,Amadeus,4.0,555,6.5k,IT Services & Consulting | Bengaluru/Bangalore +14 other locations
1421,Poorvika Mobiles,4.6,555,1.4k,Retail | Kodambakkam +78 other locations
1422,Principal Global Services,4.1,555,4.8k,Insurance | Des Moines +9 other locations
1423,Experis IT,3.1,555,3.2k,Recruitment | Milwaukee +33 other locations
1424,Vijaya Diagnostic Centre,3.9,554,1.8k,Healthcare | Hyderabad/Secunderabad +32 other locations
1425,Ness Digital Engineering,3.4,555,5.1k,IT Services & Consulting | Teaneck +10 other locations
1426,IDEMIA,4.1,553,3.6k,Law Enforcement & Security | Courbevoie +38 other locations
1427,Action Construction Equipment,3.7,553,2.6k,Industrial Machinery | Delhi/NCR +46 other locations
1428,Wapcos,3.4,552,2.2k,Engineering & Construction | Gurgaon/Gurugram +122 other locations
1429,Zee Entertainment Enterprises,3.5,552,4.2k,Media & Entertainment | Mumbai +28 other locations
1430,Clarivate,3.9,551,5.1k,Philadelphia +12 other locations
1431,Deepak Nitrite,4.0,549,3k,Chemicals | Vadodara/Baroda +15 other locations
1432,Expleo Solutions,3.8,549,4.5k,IT Services & Consulting | Mumbai +15 other locations
1433,Fedbank Financial Services,4.1,549,2.7k,NBFC | Mumbai +131 other locations
1434,PeopleStrong,3.5,550,3.2k,Recruitment | Gurgaon +18 other locations
1435,Titan Eye Plus,4.3,548,1.3k,Other | Bangalore/Bengaluru +111 other locations
1436,MAS Financial Services,3.6,548,1.9k,Financial Services | Ahmedabad +105 other locations
1437,Technip Energies,4.0,547,3.8k,Engineering & Construction | Nanterre - France +30 other locations
1438,Creambell,4.0,547,2k,Food Processing | Baddi +92 other locations
1439,Genpact Headstrong Capital Markets,3.8,547,4.9k,IT Services & Consulting | New Delhi +16 other locations
1440,Syneos Health,3.9,547,3.1k,Morrisville +12 other locations
1441,Credence Resource Management,3.5,546,2.5k,BPO | Dallas +5 other locations
1442,The Lalit,3.6,546,1.8k,Hospitality | New Delhi +29 other locations
1443,Caparo Engineering India,4.0,545,2.7k,Auto Components | Gurgaon/Gurugram +35 other locations
1444,Ag Industries,4.0,545,2.8k,Auto Components | Delhi/NCR +26 other locations
1445,BDO India LLP,3.5,544,3.8k,Accounting & Auditing | New Delhi +26 other locations
1446,Epicenter Technologies,3.6,545,2.4k,BPO | Mumbai +6 other locations
1447,Steel Authority Of India,4.1,545,2.2k,Iron & Steel | Delhi/NCR +35 other locations
1448,UKG,3.2,544,4.1k,Software Product | Noida +7 other locations
1449,Crowne Plaza,4.1,544,1.5k,Hospitality | Atlanta +31 other locations
1450,Bridge & Roof Co,3.5,543,2.8k,Engineering & Construction | Kolkata +61 other locations
1451,Adidas,3.9,543,3.3k,Fashion & Textile | Herzogenaurach +60 other locations
1452,Bikanervala,4.0,543,2.1k,FMCG | Delhi/NCR +52 other locations
1453,Raychem RPG,3.9,542,2.4k,Electrical Equipment | Mumbai +24 other locations
1454,Echobooom Management & Entrepreneurial Solutions,3.8,542,390,Management Consulting | Mumbai +21 other locations
1455,Molex,3.9,541,3.4k,Semiconductors | Lisle +15 other locations
1456,Nexdigm,3.7,540,2.9k,Management Consulting | Asansol +11 other locations
1457,Micro Turners,3.8,539,2.3k,Auto Components | Panchkula +35 other locations
1458,Collegedunia,2.8,539,3.1k,EdTech | Gurgaon/Gurugram +20 other locations
1459,Lambda Therapeutic Research,4.6,539,1.3k,Clinical Research | Ahmedabad +7 other locations
1460,Collegedunia,2.8,539,3.1k,EdTech | Gurgaon/Gurugram +20 other locations
1461,Reliance Smart,4.2,538,2k,Retail | Mumbai +203 other locations
1462,Alshaya Group,4.0,538,2.4k,Retail | Kuwait City +27 other locations
1463,Testbook.com,3.6,537,3.3k,EdTech | Mumbai +23 other locations
1464,Welspun World,3.7,537,2.6k,Building Material | Mumbai +47 other locations
1465,Medreich,3.8,537,2.6k,Pharma | Bangalore/Bengaluru +12 other locations
1466,Wipro Digital,3.5,537,6.6k,IT Services & Consulting | Brooklyn +25 other locations
1467,Poly Medicure,3.7,537,2.5k,Medical Equipment | Delhi/NCR +28 other locations
1468,Smollan Group,4.2,536,1.5k,Marketing & Advertising | Johannesburg +114 other locations
1469,GAMMON INDIA,3.9,535,1.4k,Engineering & Construction | Mumbai +67 other locations
1470,PrimEra Medical Technologies,3.9,535,3k,IT Services & Consulting | Hyderabad/Secunderabad +8 other locations
1471,Aequs,3.6,535,3.1k,Defence & Aerospace | Belagavi/Belgaum +11 other locations
1472,SLMG Beverages,4.0,535,2.3k,Beverage | Balrampur +57 other locations
1473,UnitedLex,3.1,534,3.4k,Legal | New York +7 other locations
1474,Tata Power Delhi Distribution,3.9,534,2.7k,Power | New Delhi +32 other locations
1475,LanceSoft,3.2,535,3.8k,Recruitment | Herndon +26 other locations
1476,MothersonSumi INfotech & Designs,3.3,534,4.1k,IT Services & Consulting | Noida +16 other locations
1477,Fidelity International,4.0,533,4.9k,Investment Banking / Venture Capital / Private Equity | London +13 other locations
1478,India Japan Lighting,4.3,533,2.4k,Auto Components | Chennai +29 other locations
1479,Telenor,4.3,532,682,Telecom | Fornebu +114 other locations
1480,ZaranTech,1.5,532,98,IT Services & Consulting | Bangalore/Bengaluru +17 other locations
1481,Medlife,3.7,532,3.2k,Internet | Bangalore +28 other locations
1482,Veritas,4.0,532,4.6k,Software Product | Santa Clara +39 other locations
1483,Wuerth,3.8,532,2.2k,Industrial Machinery | Mumbai +58 other locations
1484,JSW Paints,3.9,533,2.4k,Chemicals | Mumbai +113 other locations
1485,Hinduja Housing Finance,3.7,533,1.9k,NBFC | Chennai +146 other locations
1486,Encore Capital Group,4.1,531,2.3k,IT Services & Consulting | San Diego +2 other locations
1487,Sterlite Power,3.9,531,2.9k,Power | Delhi/NCR +64 other locations
1488,Diebold Nixdorf,3.9,531,3.6k,IT Services & Consulting | North Canton +42 other locations
1489,Rockwell Automation,3.8,531,4.6k,Industrial Automation | Milwaukee +20 other locations
1490,Greenply,4.0,530,2.3k,Furniture & Furnishing | Gurgaon/Gurugram +75 other locations
1491,Alorica,3.1,529,2k,BPO | Irvine +11 other locations
1492,Ask Automotive,4.1,529,2.7k,Auto Components | Gurgaon/Gurugram +25 other locations
1493,Axtria,3.0,529,5.6k,Software Product | Berkeley Heights +8 other locations
1494,BankBazaar,3.4,530,3.2k,FinTech | Chennai +13 other locations
1495,Osource Global,3.9,529,2.5k,BPO | Raipur +22 other locations
1496,Medikabazaar,4.6,527,751,Medical Equipment | Mumbai +32 other locations
1497,Ather Energy,4.0,528,3.5k,Automobile | Bangalore +45 other locations
1498,BASF,4.5,528,2.4k,Chemicals | Ludwigshafen +76 other locations
1499,Mount Litera Zee School,4.0,526,1.6k,Education & Training | Mumbai +119 other locations
1500,Mount Litera Zee School,4.0,526,1.6k,Education & Training | Mumbai +119 other locations
1501,Royal Caribbean International,4.5,525,820,Sports & Recreation | Miami +19 other locations
1502,NRB Bearings,4.2,525,2.2k,Auto Components | Mumbai +18 other locations
1503,MPS Limited,3.8,526,2.9k,Content Development | Noida +21 other locations
1504,Jain Irrigation Systems,4.0,525,2.2k,Agriculture | Jalgaon +84 other locations
1505,Quatrro,3.5,525,1.9k,BPO | Gurgaon +7 other locations
1506,BUSINESSNEXT,4.0,546,3.3k,Software Product | Noida +8 other locations
1507,Casagrand,3.9,525,3k,Real Estate | Chennai +12 other locations
1508,Marlabs,3.3,523,5.5k,IT Services & Consulting | Piscataway +12 other locations
1509,Sl Lumax,3.4,522,2.4k,Auto Components | Sriperumbudur +14 other locations
1510,RR kabel,4.1,522,2.4k,Electrical Equipment | Mumbai +90 other locations
1511,Lenovo,4.3,521,3.4k,Consumer Electronics & Appliances | Bangalore / Bengaluru +74 other locations
1512,Neuland Laboratories,4.1,520,2.7k,Pharma | Hyderabad/Secunderabad +7 other locations
1513,Qatar Airways,4.0,521,1.9k,Aviation | Doha +24 other locations
1514,Amrit Cement,4.2,519,1.2k,Building Material | Kolkata +34 other locations
1515,Turbo Energy,4.2,519,2.1k,Auto Components | Chennai +20 other locations
1516,Y-Axis Overseas Careers,3.4,519,1.4k,Legal | Hyderabad/Secunderabad +16 other locations
1517,Dhani Healthcare,3.6,519,2.3k,FinTech | Jabalpur +79 other locations
1518,Goodyear,3.8,519,2.5k,Auto Components | Akron +58 other locations
1519,Thryve Digital,4.0,519,4.8k,IT Services & Consulting | Chennai +7 other locations
1520,Lionbridge Technologies,3.7,518,3.8k,Content Development | Waltham +13 other locations
1521,Bunge India,4.0,519,2.8k,Food Processing | St. Louis +58 other locations
1522,Ramky Infrastructure,4.2,518,1.8k,Engineering & Construction | Hyderabad +43 other locations
1523,CTS Consulting & Technical Support,3.8,518,9k,Engineering & Construction | Eysines +30 other locations
1524,Wipro PARI,3.5,519,2.5k,Industrial Automation | Michigan +17 other locations
1525,Writer Corporation,3.7,518,2.1k,Facility Management Services | Mumbai +77 other locations
1526,Times Group,3.9,518,4.8k,Printing & Publishing | Mumbai +44 other locations
1527,Bristlecone,3.7,517,5.5k,IT Services & Consulting | Pune +12 other locations
1528,CtrlS,4.0,517,2.8k,IT Services & Consulting | Hyderabad +15 other locations
1529,Affinity Express,3.1,517,2.6k,Marketing & Advertising | Elgin +9 other locations
1530,EPL Limited,4.0,518,1.8k,Packaging | Mumbai +32 other locations
1531,Aurigo,4.8,518,899,Software Product | Austin +4 other locations
1532,Victora Auto Private Limited,3.8,517,2.8k,Automobile | Faridabad +25 other locations
1533,TTK Prestige,4.0,516,2.2k,Consumer Electronics & Appliances | Bangalore/Bengaluru +75 other locations
1534,Yatra,3.4,516,3.2k,Travel & Tourism | Gurgaon +19 other locations
1535,Fiat India Automobiles,3.6,516,2.3k,Automobile | Mumbai +20 other locations
1536,Apple,4.3,517,4.5k,Consumer Electronics & Appliances | Cupertino +93 other locations
1537,Orient Cement,4.4,515,2.4k,Building Material | Hyderabad/Secunderabad +61 other locations
1538,Housing.com,3.8,515,2.8k,Internet | Gurgaon +35 other locations
1539,Bharti Infratel,4.4,514,1.5k,Telecom | Gurgaon/Gurugram +66 other locations
1540,Grab A Grub Services,3.9,514,1.8k,Logistics | Mumbai +105 other locations
1541,Hindustan Sanitaryware & Industries,4.1,514,2.5k,Furniture & Furnishing | Gurgaon/Gurugram +56 other locations
1542,Care Hospital,4.2,514,1.9k,Healthcare | Hyderabad/Secunderabad +36 other locations
1543,ChannelPlay,3.9,515,1.8k,Marketing & Advertising | Gurgaon/Gurugram +69 other locations
1544,NecLife,3.6,514,2.3k,Pharma | Chandigarh +22 other locations
1545,Patel Infrastructure,3.9,514,2.1k,Engineering & Construction | Vadodara/Baroda +49 other locations
1546,AVEVA,4.3,514,1.9k,Software Product | Cambridge +12 other locations
1547,Satya MicroCapital,3.7,514,1.8k,Financial Services | Delhi +126 other locations
1548,HRH Next Services,3.1,513,1.8k,BPO | Hyderabad/Secunderabad +15 other locations
1549,Holiday Inn,3.9,512,1.5k,Hospitality | Memphis +49 other locations
1550,Licious,3.7,512,2.6k,Internet | Bangalore +34 other locations
1551,Omaxe,4.1,511,2.2k,Real Estate | Delhi/NCR +21 other locations
1552,GKN,3.8,510,2.4k,Industrial Machinery | Redditch +28 other locations
1553,Nvidia,3.8,510,4.6k,Hardware & Networking | Santa Clara +10 other locations
1554,Leverage Edu,4.2,510,1.4k,EdTech | Delhi +13 other locations
1555,Bharat Serums and Vaccines,4.0,510,2.1k,Pharma | Mumbai +55 other locations
1556,Shivam Autotech,3.7,510,2.4k,Auto Components | Gurgaon/Gurugram +19 other locations
1557,Aisin Automotive Haryana,4.2,510,2.3k,Auto Components | Gurgaon/Gurugram +24 other locations
1558,Emids Technologies Limited,3.7,510,5.3k,IT Services & Consulting | Franklin +7 other locations
1559,United Spirits,4.0,509,1.8k,Beverage | Bangalore/Bengaluru +93 other locations
1560,Kothari Agritech,4.7,508,624,Building Material | Pune +130 other locations
1561,Quislex Legal Services,3.9,508,1.8k,Legal | New York +8 other locations
1562,V-Trans,4.1,508,1.8k,Logistics | Mumbai +72 other locations
1563,Jai Balaji Group,3.6,508,2.8k,Iron & Steel | Kolkata +28 other locations
1564,OutworX,4.1,509,1.7k,IT Services & Consulting |  San Jose +35 other locations
1565,Bisk Farm,4.0,508,1.4k,Food Processing | Kolkata +96 other locations
1566,Coal India,4.0,507,1.9k,Metals & Mining | Kolkata +57 other locations
1567,Saint Gobain Glass,4.0,506,1.6k,Building Material | Raipur +49 other locations
1568,Medtronic,4.1,505,3.9k,Pharma | Mumbai +42 other locations
1569,Ebix Software India,3.2,505,4.7k,IT Services & Consulting | Atlanta +32 other locations
1570,Shriram Housing Finance,3.9,506,2k,Financial Services | Mumbai +126 other locations
1571,Syrma Technology,4.1,505,2.5k,Electronics Manufacturing | Chennai +16 other locations
1572,Mindarika,3.8,503,2.1k,Auto Components | Gurgaon/Gurugram +24 other locations
1573,Doosan Power Systems,4.2,504,2.6k,Power | Crawley +27 other locations
1574,AVTEC,3.7,504,2.1k,Auto Components | Delhi/NCR +21 other locations
1575,Patel Engineering,4.1,504,2.2k,Engineering & Construction | Mumbai +56 other locations
1576,Mitsubishi Electric,4.2,505,2.5k,Electronics Manufacturing | Chiyoda City +42 other locations
1577,Venus Remedies,4.4,504,931,Pharma | Panchkula +35 other locations
1578,Electrotherm,4.2,505,2.9k,Iron & Steel | Ahmedabad +32 other locations
1579,Sintex Industries,4.0,503,2.3k,Industrial Machinery | Kalol +53 other locations
1580,Forbes Marshall,4.1,503,2.6k,Industrial Machinery | Pune +21 other locations
1581,RITES,3.9,503,2.3k,Engineering & Construction | Gurgaon/Gurugram +64 other locations
1582,JM Financial,3.8,503,3.4k,Financial Services | Mumbai +57 other locations
1583,Praj Industries,4.1,503,2.8k,Biotechnology | Pune +26 other locations
1584,Boeing,3.9,504,6.3k,Aviation | Arlington +11 other locations
1585,Ameriprise Financial,3.7,503,4.3k,Financial Services | Minneapolis +11 other locations
1586,Gayatri Projects,3.8,502,2.2k,Engineering & Construction | Hyderabad/Secunderabad +66 other locations
1587,Visteon,3.7,502,4.5k,Software Product | Van Buren Township +16 other locations
1588,ASG Eye Hospital,3.6,501,1.5k,Jodhpur +66 other locations
1589,PPG Asian Paints,4.1,501,2.7k,Chemicals | Mumbai +52 other locations
1590,Turtlemint,3.6,501,2.2k,Internet | Mumbai +90 other locations
1591,ITC Limited Foods Division,4.0,501,1.9k,Food Processing | Kolkata +69 other locations
1592,Suraksha Diagnostic,3.9,501,1.5k,Kolkata +28 other locations
1593,Orient Technologies,3.7,501,3k,IT Services & Consulting | Chiyoda-ku +45 other locations
1594,Gartner,4.1,500,5.5k,Management Consulting | Stamford +12 other locations
1595,3M,4.3,500,3k,Electronics Manufacturing | Saint Paul +44 other locations
1596,Nihilent,3.3,500,5.3k,IT Services & Consulting | Pune +8 other locations
1597,LG Soft India,3.3,499,3.9k,Consumer Electronics & Appliances | Bangalore/Bengaluru +14 other locations
1598,Netmeds.com,3.6,499,2.4k,Internet | Chennai +107 other locations
1599,Amway India Enterprises,4.1,499,2.1k,Fitness & Wellness | Ada Township +76 other locations
1600,Surya Roshni,4.1,498,2.1k,Real Estate | Delhi/NCR +59 other locations
1601,RenewBuy,3.5,496,2.4k,Internet | Gurgaon +84 other locations
1602,Entrata,4.4,495,2.4k,Software Product | Provo +3 other locations
1603,Dhanuka Agritech,3.8,495,1.7k,Agro Chemicals | Gurgaon/Gurugram +86 other locations
1604,Saudi Aramco,4.5,495,1.6k,Oil & Gas | Dhahran +30 other locations
1605,CARE,4.4,494,1.3k,Non-Profit | Noida +109 other locations
1606,Kissht Finance,3.9,494,1.8k,FinTech | Mumbai +60 other locations
1607,Triveni Engineering & Industries,4.1,494,2.3k,Food Processing | Mysore/Mysuru +49 other locations
1608,Country Holidays Inn & Suites,4.4,493,166,Travel & Tourism | Noida +20 other locations
1609,Nomura Holdings,3.9,493,5.9k,Investment Banking / Venture Capital / Private Equity | Mumbai +9 other locations
1610,Wakefit,4.0,494,2.1k,Furniture & Furnishing | Bangalore +37 other locations
1611,Hilton,4.3,492,1.6k,Hospitality | Mclean +35 other locations
1612,Moglix,3.5,492,2.9k,Internet | Singapore +34 other locations
1613,Vaaman Engineers,3.9,492,1.9k,Engineering & Construction | Mumbai +34 other locations
1614,Jubilant Generics,4.0,491,2.7k,Pharma | Noida +20 other locations
1615,OMICS International,2.5,490,2.3k,Printing & Publishing | Hyderabad/Secunderabad +6 other locations
1616,Tata Power Solar,4.1,491,2.4k,Power | Mumbai +64 other locations
1617,Quikr,3.8,490,3k,Internet | Bangalore +24 other locations
1618,Medcode,4.6,490,23,IT Services & Consulting | Chennai +6 other locations
1619,Samunnati Financial Intermediation and Services,4.4,490,858,Financial Services | Chennai +51 other locations
1620,Emami Agrotech,3.8,488,2.4k,Food Processing | Kolkata +56 other locations
1621,ThoughtWorks,3.9,489,4.9k,IT Services & Consulting | Chicago +11 other locations
1622,Lohia Group,3.7,490,2.3k,Industrial Machinery | Kanpur +18 other locations
1623,TVS Electronics,3.8,488,2k,Consumer Electronics & Appliances | Chennai +61 other locations
1624,Gandhi Automations,4.1,488,1.2k,Industrial Machinery | Mumbai +20 other locations
1625,Advantmed,3.7,488,2.3k,Healthcare | Santa Ana +8 other locations
1626,Courtyard by Marriott,4.2,488,1.2k,Hospitality | Bethesda +37 other locations
1627,Optimum Infosystem,3.4,488,3k,IT Services & Consulting | Singapore +12 other locations
1628,Okaya Power,3.7,488,2.1k,Electrical Equipment | Delhi/NCR +82 other locations
1629,Centaur Pharmaceuticals,3.6,489,2.6k,Pharma | Mumbai +54 other locations
1630,TCI Express,3.9,488,1.8k,Logistics | Gurugram  +69 other locations
1631,Infor Global Solution,4.1,487,5.5k,Software Product | New York +8 other locations
1632,Rane NSK Steering Systems,4.2,488,1.9k,Auto Components | Noida +19 other locations
1633,DBG Technology,4.0,486,1.6k,Electronics Manufacturing | Huizhou +16 other locations
1634,DealShare,3.4,487,2.3k,Internet | Jaipur +43 other locations
1635,Škoda Auto Volkswagen,4.2,486,3.2k,Automobile | Pune +15 other locations
1636,Future Lifestyle Fashion,4.2,486,2k,Retail | Mumbai +61 other locations
1637,BSH Home Appliances Group,4.1,487,2.1k,Consumer Electronics & Appliances | Munich +45 other locations
1638,Quality Austria Central Asia,3.5,485,1.8k,Other | Delhi/NCR +54 other locations
1639,Asb International,4.0,485,2.5k,Industrial Machinery | Thane +16 other locations
1640,Signutra (Health & Nutrition Division of Win - Medicare Pvt Ltd),4.6,484,360,Pharma | Wilmington +74 other locations
1641,General Motors,4.4,483,2.5k,Automobile | Detroit +34 other locations
1642,Suma Soft,3.8,483,2.9k,IT Services & Consulting | Pune +10 other locations
1643,Ongc Petro Additions,4.1,483,3.6k,Petrochemicals | Vadodara/Baroda +27 other locations
1644,PTC,4.2,483,3.7k,Software Product | Boston +41 other locations
1645,Data Entry,4.1,484,1.9k,BPO | New Delhi +93 other locations
1646,Amber Enterprises India,3.9,483,2.5k,Consumer Electronics & Appliances | Mumbai +29 other locations
1647,Keventer,3.8,482,2.1k,FMCG | Kolkata +54 other locations
1648,Livpure,4.0,482,1.8k,Consumer Electronics & Appliances | Gurgaon +74 other locations
1649,Nucleus Software Exports,3.5,482,4.4k,Software Product | Noida +12 other locations
